Reporting Jurisdictions,Total,Category
Alabama,939,"501 - 1,000"
Alaska,506,"501 - 1,000"
American Samoa,,Not Reported
Arizona,,Not Reported
Arkansas,833,"501 - 1,000"
California,181537,"> 50,000"
Colorado,14835,"10,001 - 50,000"
Connecticut,5740,"5,001 - 10,000"
Delaware,1292,"1,001 - 5,000"
District of Columbia,,Not Reported
Florida,65398,"> 50,000"
Georgia,35688,"10,001 - 50,000"
Guam,,Not Reported
Hawaii,2799,"1,001 - 5,000"
Idaho,930,"501 - 1,000"
Illinois,44509,"10,001 - 50,000"
Indiana,,Not Reported
Iowa,2141,"1,001 - 5,000"
Kansas,603,"501 - 1,000"
Kentucky,3787,"1,001 - 5,000"
Louisiana,10778,"10,001 - 50,000"
Maine,1596,"1,001 - 5,000"
Mariana Islands,,Not Reported
Maryland,4890,"1,001 - 5,000"
Massachusetts,22746,"10,001 - 50,000"
Michigan,7202,"5,001 - 10,000"
Minnesota,5221,"5,001 - 10,000"
Mississippi,,Not Reported
Missouri,1811,"1,001 - 5,000"
Montana,,Not Reported
Nebraska,,Not Reported
Nevada,10743,"10,001 - 50,000"
New Hampshire,295,1 - 500
New Jersey,13531,"10,001 - 50,000"
New Mexico,2080,"1,001 - 5,000"
New York,19881,"10,001 - 50,000"
New York City,100116,"> 50,000"
North Carolina,14648,"10,001 - 50,000"
North Dakota,494,1 - 500
Ohio,9275,"5,001 - 10,000"
Oklahoma,1526,"1,001 - 5,000"
Oregon,9940,"5,001 - 10,000"
Pennsylvania,8186,"5,001 - 10,000"
Philadelphia,6884,"5,001 - 10,000"
Puerto Rico,,Not Reported
Rhode Island,3374,"1,001 - 5,000"
South Carolina,1920,"1,001 - 5,000"
South Dakota,184,1 - 500
Tennessee,3957,"1,001 - 5,000"
Texas,23419,"10,001 - 50,000"
U.S. Virgin Islands,41,1 - 500
Utah,5048,"5,001 - 10,000"
Vermont,306,1 - 500
Virginia,11492,"10,001 - 50,000"
Washington,17624,"10,001 - 50,000"
West Virginia,222,1 - 500
Wisconsin,3815,"1,001 - 5,000"
Wyoming,198,1 - 500